年度,卷別,題號,主題分類,子分類,一句話題旨
108,D,3,職業安全衛生,機械作業災害,防止施工機械發生作業災害之具體防範對策
108,D,4,結構體工程,混凝土材料,自充填混凝土SCC定義材料特性需求及檢驗試驗方法
108,D,5,結構體工程,混凝土工程,混凝土構造物常用接縫種類及設置目的4種
109,A,1,營建法規-採購契約,工程保險,採購契約要項機關得擇定之保險種類5項
109,A,2,營建法規-營造業管理,審議委員會,各級營造業審議委員會之執掌
109,A,3,環保與污染防治,空污防制,營建工地裸露地表抑制粉塵之防制設施
109,A,4,營建法規-採購契約,契約文件,採購契約要項契約文件包括之內容
109,A,5,營建法規-營造業管理,承攬契約,營造業法營繕工程承攬契約應記載事項7項以上
109,B,1,測量與放樣,視差角測距計算,橫距桿視差角測距法求水平距離及三角高程求B點高程(計算題)
109,B,2,土方工程,夯實試驗計算,土壤夯實優點及夯實曲線圖讀圖求乾單位重含水量要求(計算題)
109,B,3,土方工程,土方量計算,山坡地土方斷面積及平均斷面法計算AB間土方量(計算題)
109,B,4,地下工程與基礎,潛盾隧道,潛盾機施工四種工作井及其主要用途
109,B,5,地下工程與基礎,開挖監測,深開挖常用監測儀器名稱及監測項目5種
109,C,1,職業安全衛生,風險管理,營造工程施工風險對策類型及採行優先順位
109,C,2,結構體工程,模板工程品管,建築工程施工查核作業參考基準模板品質支撐組立開口預埋查核細項
109,C,3,施工計畫與管理,工地公示制度,工程告示牌及竣工銘牌設置要點應包括內容10項以上
109,C,4,環保與污染防治,四大污染防治,營建工地噪音空污水污染廢棄物污染防治措施各3項
109,C,5,機電與設備,給排水設備,存水彎功用及衛生器具存水彎水封深度範圍
109,D,1,地下工程與基礎,擋土支撐,開挖工程鋼支撐系統由放樣至架設完成之順序
109,D,2,假設工程與施工機具,起重機械,工地一般常用起重機種類4種
109,D,3,結構體工程,混凝土試驗,工地混凝土坍度試驗步驟及抗壓試體製作步驟
109,D,4,職業安全衛生,模板倒塌災害,模板塌垮之主要原因7項(次要:結構體工程模板)
109,D,5,工程圖說判讀,製圖圖例,公共工程製圖手冊及CNS建築製圖標準圖例名稱對照
110,A,1,營建法規-採購契約,名詞定義,說明統包聯合承攬工程轉交及技術士之意義(次要:營造業法)
110,A,2,營建法規-營造業管理,工地主任,營造業法工地主任應負責辦理工作
110,A,3,營建法規-採購契約,招標方式,政府採購法得採選擇性招標之情形
110,A,4,營建法規-採購契約,契約類型,說明工程契約分包契約買賣契約租賃契約勞務供給契約
110,A,5,環保與污染防治,名詞定義,營建工程空氣污染防制設施管理辦法專用名詞定義4項
110,B,1,測量與放樣,經緯儀原理,經緯儀4個軸及其相互間基本幾何關係
110,B,2,土方工程,夯實品管,工地密度試驗二項檢測數據及過度夯實定義
110,B,3,土方工程,施工計畫項目,道路工程土方工作施工計畫應包括項目7項以上
110,B,4,地下工程與基礎,連續壁施工,地下連續壁施工程序
110,B,5,地下工程與基礎,砂湧機制,開挖工程砂湧產生原因基地內外現象及水源來源
110,C,1,施工計畫與管理,BIM技術,BIM定義及至少5項主要預期效益
110,C,2,施工計畫與管理,工地文件管理,公共工程施工日誌應包含項目7項以上
110,C,3,機電與設備,緊急電源,建築物內應接至緊急電源之設備7項以上
110,C,4,地下工程與基礎,擋土工法選擇,情境案例選擇最佳地下擋土工法及3種開挖支撐工法
110,C,5,施工計畫與管理,品質管理,5000萬元以上工程整體品質計畫內容7項以上
110,D,1,結構體工程,混凝土材料計算,水膠比定義及依配比數據計算水膠比(計算題)
110,D,2,結構體工程,混凝土材料,混凝土假凝現象成因及消除方法
110,D,3,工程圖說判讀,施工製造圖,施工製造圖(Shop Drawing)應包含項目5項
110,D,4,職業安全衛生,施工架安全,施工架防止人體墜落之自主檢查項目5項
110,D,5,環保與污染防治,工地圍籬,營建工地周界應設置阻隔設施及第一二級營建工程規定差異
111,A,1,營建法規-建築管理,名詞定義,建築物主要構造改建建築物設備及使用執照之意義
111,A,2,營建法規-營造業管理,工地主任懲戒,營造業法第62條工地主任兼職處分及廢止執業證累計門檻
111,A,3,營建法規-建築管理,材料防火名詞,建築技術規則耐水材料不燃材料耐燃材料防火時效定義
111,A,4,營建法規-採購契約,工期展延,工程採購契約範本非可歸責廠商得展延履約期限之情形
111,A,5,營建法規-採購契約,履約爭議,工程採購契約範本履約爭議未達成協議之處理方式
111,B,1,測量與放樣,放樣分類,放樣依測量儀器分類之種類
111,B,2,土方工程,剩餘土石方處理,剩餘土石方流向證明文件取得方式及違規棄置處分
111,B,3,土方工程,土方量計算,方格網法(四角高程法)計算基地整地填挖方量(計算題)
111,B,4,地下工程與基礎,擋土支撐,地下室支撐開挖工法由整地放樣至地面層樓版完成施工程序
111,B,5,地下工程與基礎,開挖擋土,基礎開挖作業造成地盤沉陷之原因(含正常及異常狀況)5項
111,C,1,施工計畫與管理,品質管理,公共工程三級品管分工機制及負責單位
111,C,2,職業安全衛生,重大職災應變,二樓版倒塌職災情境處理及善後至可重新組模流程(次要:結構體工程模板)
111,C,3,機電與設備,消防設備,消防警報設備定義及種類5項
111,C,4,結構體工程,防水隔熱工程,屋頂防水層施作後軟底隔熱磚施作順序
111,C,5,職業安全衛生,汛期防災,公共工程汛期工地防災減災作業要點汛期定義及自主檢查項目4項
111,D,1,工程圖說判讀,梁配筋計算,梁A-A及B-B斷面剖面圖繪製及箍筋數量計算(計算題,次要:結構體工程鋼筋)
111,D,2,假設工程與施工機具,起重吊掛,移動式起重機吊掛搭乘設備吊升人員作業注意事項5項
111,D,3,假設工程與施工機具,鋪面機具,水泥混凝土鋪面之施工機具5項
111,D,4,結構體工程,鋼結構防火,鋼骨構造物鋼材防火覆蓋方式4項
111,D,5,結構體工程,鋼結構銲接,鋼結構銲接方法4項以上
